study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
5.99,73.99,53.23,4,6.94,1,27.46
1.98,84.16,87.46,2,8.83,1,41.5
7.05,61.41,36.44,4,6.61,1,23.73
3.53,66.54,66.23,7,8.55,0,39.33
6.93,96.52,62.82,6,7.97,0,46.97
7.54,52.43,76.41,2,4.29,1,26.72
7.92,73.04,44.8,7,6.15,0,32.72
1.97,85.58,75.1,3,7.49,0,35.48
9.24,57.52,57.6,6,8.93,0,38.21
3.07,52.37,72.12,7,6.29,1,28.98
1.34,56.91,37.41,7,4.46,0,24.28
5.99,95.94,62.7,5,6.81,0,36.93
4.34,50.46,66.34,5,4.63,1,36.0
8.47,59.42,47.86,8,7.76,0,31.14
8.27,51.56,43.38,8,6.54,0,19.81
3.85,55.53,46.31,9,7.62,0,24.84
9.58,81.01,55.65,5,8.35,0,38.57
3.62,62.08,40.81,5,7.14,1,29.59
5.64,78.46,91.84,4,7.06,1,45.48
3.3,79.51,59.3,6,7.77,0,35.32
9.42,92.47,83.54,3,8.21,1,51.14
2.48,50.24,93.47,5,8.35,1,40.39
1.4,92.67,39.84,3,4.18,1,23.21
4.92,80.96,74.1,6,6.78,1,38.89
9.93,58.14,87.28,9,5.08,1,43.02
9.03,88.65,73.05,10,8.3,0,52.35
7.74,92.77,60.74,6,7.24,0,46.22
9.02,62.71,60.86,2,6.1,1,32.54
9.04,95.94,37.15,4,4.94,1,32.93
5.67,72.72,67.08,2,5.7,1,36.06
3.84,80.17,94.61,8,7.52,0,45.62
7.95,99.23,92.52,10,5.02,0,52.55
6.95,68.08,37.42,6,4.47,1,21.64
4.36,90.66,77.35,3,8.44,0,37.24
1.85,65.92,53.11,2,7.82,1,29.31
7.72,89.96,89.18,10,5.0,1,52.67
3.36,80.04,37.71,4,5.46,1,29.53
9.43,60.82,91.15,3,8.86,0,42.02
3.17,70.7,85.25,3,7.54,1,41.48
2.1,65.88,42.05,4,7.05,1,27.75
8.48,53.91,38.59,7,5.54,1,23.48
2.38,51.49,85.08,10,5.5,1,40.81
2.61,67.32,44.35,4,4.2,0,18.51
6.39,50.95,67.09,8,7.64,1,35.96
8.87,58.27,89.94,2,4.22,1,38.24
2.77,86.26,69.05,2,4.02,1,32.5
3.79,85.4,58.83,2,7.65,1,35.73
8.0,86.93,61.7,10,8.74,0,41.09
9.75,65.86,38.79,7,7.78,1,27.47
5.51,94.5,93.13,9,6.36,0,47.43
2.3,79.69,53.64,2,6.43,0,33.28
1.13,56.3,46.36,2,6.18,1,25.59
3.07,57.19,52.16,9,5.62,0,29.25
2.19,84.65,92.86,2,6.61,0,50.2
7.1,58.65,40.66,3,6.16,1,21.59
2.1,75.36,87.04,6,6.99,1,56.43
5.56,99.59,77.47,7,8.49,0,47.78
7.25,50.2,84.8,4,8.98,0,36.38
6.23,50.83,93.55,6,4.39,0,33.74
2.8,99.65,85.53,8,5.92,1,53.0
8.24,79.23,91.6,5,4.9,0,46.06
7.44,56.35,42.62,5,5.76,1,23.36
7.65,94.87,82.75,2,5.44,1,51.57
2.18,94.02,67.74,6,4.87,1,42.21
2.11,76.81,67.61,9,7.82,0,40.61
9.35,81.09,88.94,7,6.48,1,44.87
4.58,63.66,93.31,10,8.6,0,47.96
3.71,52.53,77.29,3,4.16,0,26.58
5.4,79.73,63.98,2,4.33,0,27.69
6.97,64.74,62.38,6,6.02,0,27.93
9.6,83.18,58.18,3,4.4,1,44.31
3.58,91.81,56.7,7,5.31,0,35.2
9.32,50.91,58.49,10,8.93,1,29.62
1.22,79.79,40.39,5,5.04,0,22.28
6.0,61.56,39.65,6,4.99,0,21.43
6.71,93.69,81.79,8,6.87,0,50.14
1.95,62.68,61.76,3,6.49,0,29.15
2.26,80.54,90.84,10,6.9,0,50.73
4.77,77.68,71.73,3,5.88,1,34.26
9.7,69.81,37.11,9,8.13,1,33.65
6.36,83.88,44.45,7,4.69,0,26.6
9.4,86.29,47.35,3,6.14,1,30.24
8.24,78.35,93.54,8,7.45,1,47.16
5.21,87.92,48.12,3,8.34,0,27.45
8.06,99.17,65.95,7,5.85,0,47.05
1.16,70.96,91.17,10,6.84,0,47.89
1.98,75.73,93.63,10,4.35,1,51.35
8.46,50.62,49.18,9,4.85,1,27.38
8.17,89.8,37.95,6,4.35,0,31.94
3.09,76.01,44.22,7,7.64,1,25.51
5.78,70.4,38.8,4,5.44,1,28.39
6.45,54.7,46.71,10,7.62,1,31.51
8.81,94.48,69.11,6,4.33,0,42.75
6.43,69.75,89.75,8,8.31,1,49.2
4.71,84.13,67.23,5,8.18,1,37.34
4.37,57.47,72.56,8,4.44,1,28.42
4.83,98.08,47.11,4,4.12,1,30.97
6.87,58.92,83.04,8,4.28,1,40.82
8.81,59.98,72.07,2,8.27,1,37.12
5.09,92.95,86.85,2,5.17,0,36.44
3.23,95.63,91.93,5,6.74,0,44.22
3.13,60.61,55.87,6,6.13,0,24.18
7.71,73.49,40.43,8,7.98,0,28.96
8.35,86.67,48.56,5,6.44,1,29.64
1.95,93.92,61.27,2,6.5,1,31.45
1.6,68.95,91.74,4,8.95,1,40.77
6.35,75.85,57.7,5,4.75,1,33.19
2.32,87.09,81.25,6,8.15,0,39.72
8.42,86.56,67.43,7,4.26,0,37.76
3.79,89.15,45.97,4,6.39,1,37.23
2.29,78.5,54.24,7,8.43,0,29.37
9.29,55.23,74.19,7,7.33,1,36.55
2.49,95.2,75.37,8,7.43,0,50.05
3.56,93.28,61.09,6,5.32,0,35.49
2.38,89.9,48.72,9,6.09,1,35.69
2.04,54.99,78.31,3,5.83,1,36.59
1.19,60.22,45.13,8,6.61,1,26.65
1.5,87.18,91.2,2,6.31,0,46.45
2.57,51.16,46.27,2,5.63,1,21.35
1.48,98.96,41.44,9,5.53,1,36.05
6.32,68.86,64.86,6,5.25,1,36.5
7.13,85.97,66.17,7,5.83,0,40.22
4.54,94.38,65.49,7,4.75,0,43.52
3.86,69.73,61.2,8,8.36,1,35.83
5.54,65.96,94.69,4,7.01,0,40.76
8.88,80.44,64.18,3,4.67,1,34.63
8.66,79.05,63.68,2,7.47,0,36.5
1.39,70.46,60.31,9,8.24,0,31.57
2.63,80.09,39.01,4,5.19,1,30.84
3.13,96.77,70.58,7,4.75,0,43.29
3.24,73.38,48.68,6,4.04,0,21.01
6.14,59.84,73.26,3,4.24,1,35.82
4.75,68.86,38.05,5,7.81,0,33.75
1.44,69.71,93.88,2,8.94,1,47.12
4.36,56.56,63.14,3,4.22,0,29.63
5.71,58.14,88.81,3,7.74,1,39.24
1.92,84.23,63.53,9,4.36,0,30.15
8.5,66.97,38.62,7,6.96,0,18.87
1.47,97.74,84.33,10,7.78,1,54.98
9.32,62.18,73.89,5,5.8,1,33.53
1.89,54.95,81.91,3,4.05,0,25.11
8.59,87.68,60.69,7,6.98,1,41.39
9.12,94.05,73.28,10,8.96,0,52.21
9.82,63.91,86.37,6,5.29,0,32.57
8.22,60.1,72.86,2,4.95,1,29.41
8.02,59.29,55.86,4,4.62,1,33.0
6.78,76.1,74.75,10,6.78,0,38.2
8.01,73.42,75.31,6,6.98,1,44.78
2.21,62.97,92.64,10,7.96,0,42.78
5.82,52.26,57.25,6,7.77,0,29.58
5.63,74.07,60.5,2,8.46,0,35.99
8.72,97.97,83.73,9,8.03,0,55.24
5.17,82.63,65.35,8,5.24,1,43.76
4.47,74.78,79.19,8,6.78,0,36.63
6.76,55.53,62.58,10,5.49,0,36.0
3.4,62.62,47.93,3,5.65,1,21.06
2.26,64.74,79.71,10,8.66,1,45.33
5.3,88.24,42.87,4,7.41,0,31.63
4.75,93.84,46.92,10,8.87,1,44.65
3.09,95.08,72.61,3,6.08,0,40.67
4.31,99.23,79.84,6,6.69,1,45.49
4.3,99.12,88.68,9,6.44,1,48.71
3.95,97.65,51.36,2,4.54,0,34.47
4.42,53.59,41.64,2,5.18,0,17.03
7.17,56.89,92.36,9,6.64,1,48.9
3.67,65.22,44.27,2,4.34,0,19.19
9.54,77.64,46.86,7,8.66,0,28.17
9.25,54.85,52.48,10,4.62,1,34.17
5.33,92.29,66.76,7,4.99,0,38.19
3.96,80.84,87.97,6,7.83,1,48.75
5.82,77.12,80.63,5,4.48,1,37.57
8.64,58.27,77.49,7,8.5,0,44.39
6.87,62.66,45.51,7,7.63,0,24.04
8.24,58.02,56.46,6,4.34,1,27.02
5.79,92.6,63.7,3,7.46,0,38.18
6.7,79.21,43.85,7,7.16,0,26.77
3.59,86.76,51.41,8,7.79,0,37.84
7.61,64.8,53.5,8,8.14,1,41.23
2.82,68.56,42.64,2,7.59,0,20.89
7.25,70.24,68.01,8,6.93,1,41.24
8.75,88.0,77.3,8,5.61,0,33.12
2.19,88.62,39.2,3,7.49,1,30.37
6.53,60.34,63.87,9,8.78,1,36.9
1.86,97.08,81.93,6,6.94,0,42.87
7.53,56.03,79.88,6,7.32,1,42.46
1.76,94.81,83.9,8,6.19,0,45.86
9.42,55.02,61.89,6,7.78,0,29.76
2.24,63.23,84.23,6,8.99,1,40.53
9.63,92.32,49.45,4,4.8,1,27.03
8.21,58.97,56.65,10,5.01,1,28.43
6.34,70.68,45.58,10,6.7,0,35.31
8.04,72.49,63.05,3,6.41,0,22.91
8.16,62.26,58.52,8,6.86,0,28.95
9.51,85.51,49.46,2,4.25,0,26.31
3.28,92.57,80.11,5,6.02,0,49.77
6.31,93.73,53.83,10,6.91,1,46.35
1.86,66.97,51.37,3,6.93,0,22.99
6.55,76.54,42.85,5,7.29,1,36.09
2.54,62.42,61.33,3,7.6,0,25.0
6.08,62.24,53.18,8,7.21,0,34.23
6.15,58.06,57.16,6,7.95,0,23.82
5.19,97.0,49.16,7,7.12,0,41.75
5.7,94.4,80.79,10,6.69,0,47.6
7.88,88.87,90.8,6,7.03,0,43.99
8.19,75.88,64.88,8,4.51,1,37.15
5.43,74.53,73.58,2,5.37,1,36.38
6.4,76.49,87.03,3,6.64,0,38.03
9.38,76.83,94.93,10,8.36,0,53.53
2.08,71.73,71.81,9,7.4,0,36.68
2.05,56.59,88.39,7,4.45,0,37.81
1.79,56.28,89.52,5,6.96,0,38.03
6.92,97.61,82.49,3,5.11,0,42.81
4.77,74.1,62.66,9,7.67,1,38.35
7.97,97.66,39.87,9,8.14,0,38.7
7.04,58.18,35.95,4,6.97,0,22.11
4.0,77.72,63.63,7,6.96,0,44.51
9.09,60.39,64.66,7,5.69,1,37.85
7.86,62.66,59.44,6,6.23,0,33.83
3.43,51.5,69.09,10,8.32,0,46.96
4.28,55.95,68.13,3,7.62,0,30.79
3.83,95.84,85.2,4,6.6,0,47.08
2.42,66.08,41.52,2,5.84,0,22.78
2.33,80.41,48.51,8,4.25,1,28.47
9.43,73.25,82.58,7,4.72,0,38.25
4.94,70.02,85.87,10,4.97,0,40.11
4.45,76.59,94.69,6,5.87,1,49.08
7.57,59.36,87.37,3,8.72,0,36.97
5.98,99.43,88.39,6,6.53,0,49.92
9.43,90.92,53.86,2,5.17,0,36.09
8.02,87.08,59.1,8,4.53,1,42.74
5.31,73.44,51.09,8,5.69,1,32.82
4.39,57.64,71.38,9,8.08,1,35.95
9.88,96.03,91.33,5,5.92,1,55.75
7.46,67.07,55.68,4,7.86,1,35.3
9.56,52.51,68.42,2,8.01,1,24.59
2.07,67.12,52.78,5,4.55,1,26.44
8.65,89.72,45.19,6,7.04,1,37.09
6.73,81.14,46.71,8,8.8,1,40.76
2.1,87.54,38.48,8,6.01,0,34.14
6.29,89.68,91.96,3,4.25,0,44.01
7.17,60.6,59.17,4,8.62,1,34.54
1.11,96.19,85.05,6,8.42,0,48.47
5.09,71.9,75.88,5,6.61,0,33.95
8.43,81.95,46.52,2,6.76,1,29.7
3.66,50.12,45.53,9,5.06,1,25.14
5.13,99.67,83.72,8,8.1,1,53.48
4.98,64.04,50.88,6,6.49,0,19.66
3.72,53.1,89.8,4,4.17,0,30.6
9.27,72.91,43.4,9,7.42,0,32.08
8.03,56.45,75.66,2,8.75,0,31.21
2.0,57.62,83.87,6,8.15,1,38.47
9.97,81.61,49.12,9,5.39,0,36.2
8.91,69.65,51.57,10,4.27,0,26.92
3.56,96.09,92.87,4,8.7,0,43.2
8.53,65.96,50.88,7,8.69,1,32.72
1.96,86.31,60.8,3,6.66,0,36.47
9.99,73.05,60.95,3,7.21,0,38.82
6.99,83.0,50.18,5,6.31,1,37.28
6.85,79.98,81.55,9,6.1,1,40.82
1.81,73.64,81.31,8,4.6,0,37.91
9.07,97.5,57.7,6,4.48,1,41.17
1.26,67.14,85.11,4,5.16,1,38.28
3.17,58.86,47.78,3,8.18,0,25.51
2.29,83.9,35.26,4,4.73,0,19.94
7.99,92.3,69.27,3,5.13,1,40.36
2.78,52.01,94.64,3,6.74,0,36.59
9.2,72.48,37.32,8,5.08,1,32.34
6.91,94.62,47.48,3,4.82,1,30.0
1.33,87.48,66.13,2,6.82,1,35.69
1.05,99.59,83.6,6,5.84,1,37.79
1.46,76.57,40.34,4,7.13,0,22.92
6.45,83.0,58.71,6,8.56,1,37.81
8.21,65.12,79.82,3,4.75,1,31.46
3.15,97.38,57.29,3,8.57,0,38.22
8.64,68.32,46.33,5,8.51,1,31.14
1.52,86.93,46.73,8,8.15,0,25.93
8.21,70.16,59.6,5,7.16,0,33.04
9.35,78.09,63.77,6,7.1,0,33.11
7.95,85.99,86.71,6,7.2,0,48.11
7.28,75.45,73.54,4,7.45,1,34.68
8.54,95.35,76.42,4,4.08,0,40.84
1.36,70.97,93.98,5,8.79,0,42.4
2.82,82.35,59.71,2,6.93,1,35.23
2.12,67.12,59.2,8,7.91,1,36.31
5.54,70.41,90.4,7,5.89,0,41.03
7.71,72.0,49.75,4,4.06,0,19.29
6.67,56.29,78.79,5,6.55,1,30.08
8.66,54.59,80.27,4,6.54,1,33.18
2.4,83.37,40.87,7,6.18,1,31.9
7.61,82.78,63.09,8,5.7,1,38.01
2.74,83.15,47.03,2,5.25,0,28.48
3.44,50.99,46.12,5,6.64,1,22.31
7.39,66.33,62.83,2,5.88,0,24.12
9.82,59.89,52.37,6,8.85,0,28.82
6.5,88.91,82.76,4,4.86,1,44.68
1.49,93.03,89.46,5,5.6,1,48.9
6.55,62.33,83.16,6,5.47,0,43.89
1.38,83.39,50.96,4,6.72,0,27.6
8.96,56.47,51.45,5,6.5,1,27.45
7.39,63.76,50.28,8,7.22,0,31.69
2.56,56.93,43.1,9,8.75,1,29.55
1.83,64.18,91.63,2,5.43,0,32.92
2.65,83.74,59.12,5,7.46,1,31.22
9.82,95.52,48.48,9,4.13,0,34.6
5.13,60.13,85.8,6,5.31,0,31.84
8.06,77.1,58.95,3,6.32,0,24.34
6.73,85.07,37.11,7,4.15,1,26.95
6.15,97.65,44.72,3,7.09,1,31.1
2.31,80.5,73.36,2,7.39,1,40.55
9.51,62.76,81.97,7,7.73,1,44.83
3.71,81.27,47.66,6,6.58,0,27.19
6.2,66.02,90.04,8,7.02,1,44.34
7.3,98.81,86.06,5,5.98,1,42.36
6.84,69.98,85.9,9,4.21,1,41.42
9.47,84.27,48.66,5,4.5,1,34.35
2.34,51.16,38.03,8,7.27,1,27.28
5.58,70.0,87.05,2,8.98,1,39.11
4.64,93.76,53.35,2,4.08,1,36.93
5.27,80.51,72.13,9,6.79,0,35.61
2.07,72.2,80.6,9,7.76,1,39.83
2.21,96.8,42.7,10,8.13,0,41.22
3.5,92.7,81.85,4,6.73,1,52.43
3.74,66.11,91.31,2,7.1,0,39.43
4.85,77.23,78.7,10,7.48,1,46.7
6.5,74.49,61.47,7,8.29,0,27.77
6.71,81.61,87.6,4,4.61,1,34.98
4.71,66.71,66.65,8,8.63,0,37.39
4.68,62.21,79.69,10,4.13,0,35.65
2.96,95.63,84.23,4,8.18,1,44.24
6.29,96.19,79.96,8,4.38,1,48.25
3.85,92.17,52.27,9,4.97,0,36.91
1.32,98.91,42.07,6,4.02,0,34.65
4.77,87.25,49.3,7,6.23,1,36.83
5.27,88.23,65.17,4,5.67,1,43.4
3.03,88.13,65.32,10,4.83,0,40.11
6.15,74.03,69.96,10,6.26,1,41.76
6.09,72.82,58.71,10,6.01,0,39.79
7.32,62.01,82.21,8,7.84,1,38.91
6.83,82.24,89.79,2,8.47,0,54.79
6.87,64.47,49.8,5,7.26,0,28.76
3.85,62.89,79.19,6,4.62,0,35.34
8.09,79.3,75.68,10,5.48,1,47.28
5.94,70.5,66.39,6,8.57,1,46.27
4.88,60.94,46.31,6,4.44,0,25.97
6.63,90.8,82.71,3,6.03,1,38.17
4.25,93.03,92.64,9,8.71,1,61.55
5.61,58.38,78.31,5,8.75,1,37.03
7.63,50.38,90.07,2,6.06,1,35.39
8.98,66.81,94.05,10,7.34,0,42.0
9.29,89.88,56.12,3,6.28,0,36.26
5.53,91.96,73.29,2,7.77,1,39.88
5.68,56.92,63.44,2,4.16,0,23.84
8.2,88.72,94.2,6,4.72,0,45.77
3.83,55.79,40.63,2,7.07,0,26.03
8.54,69.5,59.74,9,5.16,1,44.15
5.45,99.93,87.53,6,7.33,1,52.61
2.04,59.63,52.04,4,5.76,1,25.91
1.65,57.7,82.27,2,8.43,0,31.58
8.58,71.14,57.97,6,8.1,0,38.28
1.5,80.98,93.8,3,6.46,1,43.37
3.53,96.65,88.01,10,7.86,0,51.18
4.01,99.04,53.08,4,5.36,1,40.97
2.56,53.48,81.21,6,6.47,0,31.24
3.83,56.9,55.21,2,4.99,0,21.08
7.68,89.54,71.38,3,8.3,0,34.28
1.13,63.53,74.51,3,8.12,1,38.01
8.44,94.24,84.78,2,8.51,1,55.95
8.71,83.17,36.47,8,8.39,0,35.35
4.35,55.59,48.21,10,8.8,1,38.1
2.38,91.63,77.72,10,5.14,1,44.31
6.41,58.82,68.81,4,8.66,1,35.6
2.08,71.17,64.74,9,6.86,1,34.78
4.28,77.61,38.31,6,6.11,0,25.53
9.63,75.04,55.9,2,6.8,1,35.21
9.96,84.31,86.91,2,5.71,1,44.03
7.95,82.63,36.85,6,5.44,0,21.87
3.8,99.6,58.79,5,5.21,0,31.98
7.19,99.97,91.71,2,4.41,1,42.11
7.35,75.82,38.05,10,6.48,1,34.97
4.49,54.76,79.98,8,8.44,0,45.81
6.77,86.39,50.46,6,7.15,0,39.83
1.1,98.83,87.0,10,6.6,1,46.27
2.88,65.92,79.76,10,6.14,0,45.44
5.73,73.06,88.14,10,6.32,0,48.99
2.47,71.24,47.96,4,5.05,1,20.8
2.49,52.57,66.88,9,8.11,1,34.17
8.53,83.61,81.76,6,4.99,0,46.22
9.9,67.67,49.74,8,7.58,0,34.03
6.0,89.37,48.84,9,7.8,0,32.64
8.55,91.61,36.63,3,6.87,0,31.27
9.91,91.06,92.51,6,8.31,1,44.95
2.27,70.83,77.6,3,5.46,0,32.43
5.03,66.08,73.13,4,8.41,0,39.57
4.53,87.44,79.64,5,7.65,0,43.19
1.72,90.07,66.9,9,7.99,1,43.6
7.8,74.56,63.57,9,7.32,1,44.42
4.9,94.65,61.97,5,8.23,1,46.54
5.22,57.2,73.43,4,8.97,0,38.47
2.36,93.95,47.09,6,6.1,1,39.39
2.63,54.8,88.28,10,8.07,0,45.57
9.16,57.68,83.71,10,7.72,1,47.11
1.4,76.69,55.97,4,6.26,1,33.12
3.1,53.38,69.72,3,8.63,1,32.13
3.63,52.64,43.46,8,5.97,0,21.67
5.41,50.03,93.34,4,6.83,1,33.14
6.28,71.82,89.17,3,4.53,1,35.93
5.44,88.73,90.31,2,5.13,1,43.24
1.76,51.74,54.93,5,8.2,0,26.12
3.19,82.61,45.15,5,5.98,1,37.03
8.59,91.16,47.71,7,5.97,1,37.28
6.74,58.4,40.4,3,5.23,0,22.71
6.84,57.34,42.21,8,6.46,1,31.54
7.03,93.04,39.28,8,8.03,0,34.47
7.87,91.16,94.39,6,8.48,1,56.21
1.52,76.95,39.44,3,4.35,1,23.08
4.3,90.96,42.95,6,6.87,0,37.72
5.86,54.64,84.64,8,6.34,0,39.75
4.05,69.72,69.81,5,7.07,1,32.06
8.6,86.89,81.47,4,6.24,0,42.77
5.34,62.87,72.85,6,5.99,0,40.08
7.92,87.62,87.93,5,6.36,0,44.55
8.67,75.21,73.31,5,6.91,1,42.12
5.54,87.51,66.33,5,6.5,1,42.64
9.19,73.23,77.76,4,6.36,1,35.73
6.28,68.4,61.84,8,8.09,0,37.66
8.65,60.96,55.76,6,7.73,0,24.37
4.07,60.42,63.06,6,5.71,1,29.1
